,date,real_avg_inc,declared_avg_inc
0,2017-01-01,2508,2323
1,2017-02-01,2528,2348
2,2017-03-01,2475,2307
3,2017-04-01,2267,2119
4,2017-05-01,2250,2108
5,2017-06-01,2240,2104
6,2017-07-01,2247,2112
7,2017-08-01,2253,2120
8,2017-09-01,2259,2127
9,2017-10-01,2256,2129
10,2017-11-01,2256,2134
11,2017-12-01,2335,2216
12,2018-01-01,2547,2426
13,2018-02-01,2570,2456
14,2018-03-01,2478,2376
15,2018-04-01,2282,2194
16,2018-05-01,2274,2190
17,2018-06-01,2269,2191
18,2018-07-01,2270,2205
19,2018-08-01,2284,2233
20,2018-09-01,2273,2234
21,2018-10-01,2268,2233
22,2018-11-01,2261,2233
23,2018-12-01,2350,2327
