,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,date
0,0EPxmvsG1BY5td4aTOkWBF,0.456,0.931,144039,0.604,0.0,0,0.0488,-1.41,0,0.0573,129.926,4,0.864,2017-01-01
1,1a5Yu5L18qNxVhXx38njON,0.586,0.789,192846,0.442,0.00366,11,0.0927,-7.844,1,0.0421,121.971,4,0.45,2017-01-01
2,2wFnRPjuqwNySFiK0Qfg8L,0.482,0.632,174653,0.95,0.0,7,0.84,-2.85,0,0.111,154.006,4,0.596,2017-01-01
3,45wqPwIH4A5cr2IyyD4WKf,0.424,0.855,174663,0.601,0.0,6,0.241,-5.902,0,0.0346,124.016,4,0.776,2017-01-01
4,6zCqeUUqLb2CapBmVwAHll,0.0916,0.647,183627,0.93,0.0,8,0.401,-3.147,0,0.0636,133.966,4,0.848,2017-01-01
5,2CW04trIoYMbroZWDzPAjs,0.695,0.599,174920,0.65,0.0,9,0.969,-4.394,1,0.0263,91.989,4,0.346,2017-01-01
6,4FxumkF81ICxITeqxx4nK9,0.433,0.818,206270,0.84,1.16e-06,5,0.114,-3.328,1,0.092,99.004,4,0.889,2017-01-01
7,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661,2017-01-01
8,2DAGCHu5aoo2FOjmtU9ojo,0.206,0.778,207104,0.826,0.0,1,0.761,-2.798,0,0.212,139.042,4,0.759,2017-01-01
9,38MpAndIjGAyVdcC6npX95,0.686,0.852,201905,0.684,1.76e-05,4,0.145,-5.915,0,0.0377,126.08,4,0.616,2017-01-01
10,0jIitZeIQRTaZgFQf2WpGK,0.0827,0.607,162960,0.869,0.0,8,0.42,-3.664,0,0.0896,135.533,4,0.591,2017-01-01
11,2d3TbSkAscvT3QRQalq6uT,0.237,0.63,162735,0.827,0.0,9,0.646,-4.65,1,0.0687,125.977,4,0.484,2017-01-01
12,7DRP2VOMpy1rrk3iYFLCW9,0.177,0.91,171692,0.804,0.0,9,0.203,-4.76,0,0.0996,129.929,4,0.712,2017-01-01
13,6DNtNfH8hXkqOX1sjqmI7p,0.0736,0.608,185352,0.798,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501,2017-01-01
14,5aAx2yezTd8zXrkmtKl66Z,0.165,0.681,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535,2017-01-01
