,id,Track Name,date
0,6u0EAxf1OJTLS7CvInuNd7,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),2018-01-01
1,0pDaqgIForVNO4jrtTxcWT,Agora Vai Sentar,2018-01-01
2,1kNVJQEkobOlyfbctPZ4fs,Amar Amei,2018-01-01
3,5ac0YTpOaDX9wEYYyGCglL,Ar-Condicionado No 15 - Ao Vivo,2018-01-01
4,3Ga6eKrUFf12ouh9Yw3v2D,Downtown,2018-01-01
5,228vRHzGfQh47EfLjuY1Yr,Rabiola,2018-01-01
6,7q5agbUOzZnVF4Yes3AD7I,Deixa Ela Beijar,2018-01-01
7,6UZJOc2HBrTp9DYfir9N8n,Regime Fechado - Ao Vivo,2018-01-01
8,6pSYjx66rlqRmGGTHhnjCo,Fazer Falta,2018-01-01
9,3sIMCkwUZbQbWeNOTG3ET4,Permanecer,2018-01-01
10,6ZR7rT7vfwtY0EqyLeyAaO,Ritmo Mexicano,2018-01-01
11,7yYOMPwpV5CsK0cxoAZT6B,Encaixa,2018-01-01
12,6gquljDBW7rE6mCBzmTRxo,Raspão - Ao Vivo,2018-01-01
13,2g2ZjM1GjY9Lf2Ff0L94Ul,Vidinha de Balada - Ao Vivo,2018-01-01
14,4kkQGhScJDzNIIGavQE9SN,Corpo Sensual (feat. Mateus Carrilho),2018-01-01
15,1xd3OqTbx17HutN7RfJOTj,Big Jet Plane,2018-01-01
16,12lOxvml5EBvSCzQll7xVS,Contrato,2018-01-01
17,7vgNGxchhqDQWjKjLPTPro,Abusadamente,2018-01-01
18,3ibRxEv4KkcU9e259eyNJA,Sua cara (feat. Anitta & Pabllo Vittar),2018-01-01
19,5JZlDZzWPbrYwMHmnOQO3U,Cê Acredita - Ao Vivo,2018-01-01
20,6BPt2sVRvE41rUixcCAHY6,A Mala É Falsa - Ao Vivo,2018-01-01
21,6wXYGqXCLtEHx4VDb2TPcM,Apelido Carinhoso,2018-01-01
22,0r0U9AcE4LP0QzJQDUUlXP,Ressaca de Saudade - Ao Vivo,2018-01-01
23,5zSiXA70xM4kuSt6qim6jl,K.O.,2018-01-01
24,4BjPsq3MXBNo4Qxg40igEr,Cara Bacana,2018-01-01
25,4YV827A7aWVswtyt0eWoWM,Sorte Que Cê Beija Bem - Ao Vivo,2018-01-01
26,0ofbQMrRDsUaVKq2mGLEAb,Havana,2018-01-01
27,7ieFtgZBYSC94nGs5yF0Wk,Azul Piscina,2018-01-01
28,2ekn2ttSfGqwhhate0LSR0,New Rules,2018-01-01
29,06ZpMjkNdIDKVf3mK29UiC,Never Let Me Go,2018-01-01
30,2cwFhwT6L2D4Olc25nhyZo,Amor Da Sua Cama,2018-01-01
31,7CtFr21TzdM4ntuBkwzpxg,Troféu do Ano,2018-01-01
32,1BkyiAw1L0BOHYckwpRX4V,Pesadão (Participação especial Marcelo Falcão),2018-01-01
33,1m1vw2OQTYHt9AukcIPs8x,Escalada pra Jogar,2018-01-01
34,1504k2wy349EtgioaW78Ht,Quase - Ao Vivo,2018-01-01
35,7qiZfU4dY1lWllzX7mPBI3,Shape of You,2018-01-01
