,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,date
0,5aAx2yezTd8zXrkmtKl66Z,0.165,0.681,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535,2017-01-01
1,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661,2017-01-01
2,4pdPtRcBmOSQDlJ3Fk945m,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142,2017-01-01
3,5knuzwU65gJK7IF5yJsuaW,0.406,0.72,251088,0.763,0.0,9,0.18,-4.068,0,0.0523,101.965,4,0.742,2017-01-01
4,1xznGGDReH1oQq0xzbwXa3,0.00784,0.791,173987,0.619,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,0.371,2017-01-01
5,343YBumqHu19cGoGARUTsd,0.108,0.927,210937,0.488,0.0,9,0.196,-9.433,0,0.42,133.987,4,0.605,2017-01-01
6,6b8Be6ljOzmkOmFslEb23P,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632,2017-01-01
7,5MFzQMkrl1FOOng9tq6R9r,0.338,0.783,214480,0.623,0.0,7,0.0975,-6.126,1,0.08,100.048,4,0.447,2017-01-01
8,6fujklziTHa8uoM5OQSfIo,0.142,0.794,291893,0.632,0.0,0,0.128,-6.163,1,0.0649,145.926,4,0.355,2017-01-01
9,5GXAXm5YOmYT0kL5jHvYBt,0.426,0.773,269187,0.819,0.0,0,0.0679,-5.946,0,0.118,92.99,4,0.585,2017-01-01
10,6mICuAdrwEjh6Y6lroV2Kg,0.187,0.852,195840,0.773,3.05e-05,8,0.159,-2.921,0,0.0776,102.034,4,0.907,2017-01-01
11,3NdDpSvN911VPGivFlV5d0,0.0631,0.735,245200,0.451,1.3e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862,2017-01-01
12,5uCax9HTNlzGybIStD3vDh,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494,2017-01-01
13,4Km5HrUvYTaSUfiSGPJeQR,0.061,0.927,343150,0.665,0.0,11,0.123,-5.313,1,0.244,127.076,4,0.175,2017-01-01
14,6DNtNfH8hXkqOX1sjqmI7p,0.0736,0.608,185352,0.798,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501,2017-01-01
15,04DwTuZ2VBdJCCC5TROn7L,0.0592,0.49,195840,0.485,0.0,4,0.337,-6.237,0,0.0406,133.889,4,0.196,2017-01-01
16,4pLwZjInHj3SimIyN9SnOz,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.883,0,0.247,159.145,4,0.603,2017-01-01
17,78rIJddV4X0HkNAInEcYde,0.0604,0.67,222041,0.838,0.000611,0,0.159,-4.031,1,0.0362,104.998,4,0.717,2017-01-01
18,6JV2JOEocMgcZxYSZelKcc,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701,2017-01-01
19,0QsvXIfqM0zZoerQfsI9lm,0.16,0.542,208053,0.859,0.00466,11,0.137,-5.651,1,0.197,159.797,4,0.403,2017-01-01
20,4Hf7WnR761jpxPr5D46Bcd,0.123,0.624,187973,0.803,0.0,10,0.114,-4.105,0,0.246,166.018,4,0.821,2017-01-01
21,3EmmCZoqpWOTY1g2GBwJoR,0.00383,0.647,198774,0.932,1.5e-06,11,0.0574,-3.515,1,0.0824,114.991,4,0.374,2017-01-01
22,1vvNmPOiUuyCbgWmtc6yfm,0.0935,0.819,219160,0.913,3.72e-05,4,0.161,-3.059,0,0.0427,119.989,4,0.536,2017-01-01
23,1qOLh0tI7trd1zdDKxYZTe,0.371,0.636,181880,0.633,0.0,4,0.102,-4.23,1,0.126,99.721,4,0.512,2017-01-01
24,1PSBzsahR2AKwLJgx8ehBj,0.214,0.697,239293,0.691,0.0,2,0.185,-4.757,1,0.146,137.853,4,0.305,2017-01-01
25,6i0V12jOa3mr6uu4WYhUBr,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548,2017-01-01
26,27SdWb2rFzO6GWiYDBTD9j,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732,2017-01-01
27,2rizacJSyD9S1IQUxUxnsK,0.097,0.662,194080,0.586,0.00272,0,0.115,-8.821,1,0.0307,90.0,4,0.296,2017-01-01
28,4TZy1wLyHec06pwgFYDh1a,0.137,0.469,208733,0.68,0.0,11,0.11,-4.921,0,0.117,147.734,4,0.374,2017-01-01
29,3AEZUABDXNtecAOSC1qTfo,0.4,0.761,222560,0.838,0.0,4,0.176,-3.073,0,0.0502,93.974,4,0.71,2017-01-01
30,7yyRTcZmCiyzzJlNzGC9Ol,0.236,0.886,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708,2017-01-01
31,17Fd6Yb7mSbinKG8LoWfFl,0.0353,0.663,197933,0.713,7.68e-06,7,0.0843,-6.647,0,0.112,101.965,4,0.69,2017-01-01
32,6rQSrBHf7HlZjtcMZ4S4bO,0.551,0.508,205600,0.687,3.41e-06,0,0.126,-4.361,1,0.326,180.044,4,0.555,2017-01-01
33,0azC730Exh71aQlOt9Zj3y,0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.465,2017-01-01
34,4tCtwWceOPWzenK2HAIJSb,0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593,2017-01-01
35,0prNGof3XqfTvNDxHonvdK,0.0285,0.573,230227,0.739,0.0,0,0.111,-5.74,1,0.129,97.085,4,0.451,2017-01-01
36,7DM4BPaS7uofFul3ywMe46,0.00431,0.663,259196,0.92,1.69e-05,11,0.101,-4.07,0,0.226,99.935,4,0.533,2017-01-01
37,4b4KcovePX8Ke2cLIQTLM0,0.0038,0.544,197640,0.809,0.0,8,0.323,-5.098,1,0.0363,145.017,4,0.448,2017-01-01
38,1D3ODoXHBLpdxolZRHWV1j,0.0778,0.696,201254,0.743,0.0,6,0.0581,-3.838,1,0.0331,122.978,4,0.644,2017-01-01
39,68EMU2RD1ECNeOeJ5qAXCV,0.621,0.728,217707,0.563,0.0,1,0.179,-8.053,0,0.134,100.017,4,0.352,2017-01-01
40,7FB8l7UA1HKqnuSLjP9qDc,0.174,0.952,209640,0.318,0.0,10,0.205,-10.357,1,0.467,120.077,4,0.665,2017-01-01
41,08WPvDEsHvTFuB9w8tC2OS,0.273,0.781,193181,0.57,0.0,11,0.196,-5.874,0,0.188,107.059,4,0.858,2017-01-01
42,6nxQdXa1uAL0rY72wPZu89,0.591,0.488,210293,0.762,0.0,8,0.0763,-3.842,1,0.0865,123.889,4,0.709,2017-01-01
43,7aV2mflaASUmGhCErm7kBO,0.0707,0.707,167038,0.883,0.0,0,0.23,-4.281,1,0.0602,106.031,4,0.541,2017-01-01
44,0JiVRyTJcJnmlwCZ854K4p,0.186,0.676,161200,0.929,0.000405,10,0.121,-3.194,1,0.0458,97.019,4,0.157,2017-01-01
45,14WWzenpaEgQZlqPq2nk4v,0.0752,0.725,219320,0.534,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,0.558,2017-01-01
46,3QwBODjSEzelZyVjxPOHdq,0.0559,0.832,209453,0.772,0.000486,10,0.44,-5.429,1,0.1,96.016,4,0.704,2017-01-01
47,4Q4jmPHwu0wrJvqrld0FQ6,0.0853,0.486,226720,0.713,0.0,2,0.0839,-3.949,0,0.0524,121.028,4,0.297,2017-01-01
48,1a5Yu5L18qNxVhXx38njON,0.586,0.789,192846,0.442,0.00366,11,0.0927,-7.844,1,0.0421,121.971,4,0.45,2017-01-01
49,1cG0umU5TKStygKsPFZ9pY,0.112,0.483,191379,0.787,0.0,8,0.257,-5.244,1,0.102,122.058,4,0.58,2017-01-01
50,0SGkqnVQo9KPytSri1H6cF,0.105,0.77,222360,0.567,0.0,2,0.125,-5.698,1,0.175,81.477,4,0.26,2017-01-01
51,3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.609,233720,0.378,0.0,4,0.28,-9.828,1,0.438,100.418,4,0.515,2017-01-01
52,2aFiaMXmWsM3Vj72F9ksBl,0.156,0.774,219147,0.764,0.0,4,0.0383,-5.445,0,0.0518,118.997,4,0.912,2017-01-01
53,4F7A0DXBrmUAkp32uenhZt,0.188,0.572,249213,0.631,2.31e-05,1,0.259,-8.389,1,0.104,77.519,4,0.219,2017-01-01
54,69bp2EbF7Q2rqc5N3ylezZ,0.0797,0.654,200787,0.76,0.0,0,0.299,-3.669,0,0.045,99.945,4,0.41,2017-01-01
55,2Z8WuEywRWYTKe1NybPQEW,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,1,0.0393,74.989,4,0.566,2017-01-01
56,0sXvAOmXgjR2QUqLK1MltU,0.198,0.736,227707,0.964,2.32e-06,0,0.336,-2.147,1,0.129,179.935,4,0.953,2017-01-01
57,5bZtRlMBU76vHuDOb1GM5u,0.35,0.739,195313,0.833,0.0,1,0.266,-5.012,1,0.0463,117.99,4,0.699,2017-01-01
58,5OOkp4U9P9oL23maHFHL1h,0.028,0.576,246761,0.766,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,0.236,2017-01-01
59,11KJSRSgaDxqydKYiD2Jew,0.0573,0.804,263373,0.648,3.49e-05,7,0.102,-7.805,1,0.117,117.983,4,0.392,2017-01-01
60,5hYTyyh2odQKphUbMqc5gN,0.157,0.314,175517,0.555,0.000108,9,0.067,-9.601,1,0.37,179.666,4,0.159,2017-01-01
61,3AsAuGTaDQzavZZThyYlop,0.0623,0.803,188889,0.569,0.0,2,0.083,-7.392,1,0.0739,107.986,4,0.809,2017-01-01
62,7yHEDfrJNd0zWOfXwydNH0,0.0161,0.636,244453,0.727,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358,2017-01-01
63,3CRDbSIZ4r5MsZ0YwxuEkn,0.0462,0.734,202333,0.637,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,0.648,2017-01-01
64,6I6NX6tjGsxFAsIfGzY9lJ,0.361,0.653,264747,0.409,0.00012,9,0.189,-11.446,1,0.421,174.324,4,0.187,2017-01-01
65,58IL315gMSTD37DOZPJ2hf,0.076,0.899,234320,0.626,0.0,6,0.0631,-4.228,0,0.292,88.007,4,0.873,2017-01-01
66,7gHs73wELdeycvS48JfIos,0.0291,0.589,212627,0.651,3.2e-06,6,0.111,-5.097,1,0.0306,90.011,4,0.166,2017-01-01
67,7xHWNBFm6ObGEQPaUxHuKO,0.0102,0.668,210227,0.725,0.000479,1,0.0561,-6.127,1,0.266,191.944,4,0.729,2017-01-01
68,6F609ICg9Spjrw1epsAnpa,0.0773,0.607,245227,0.476,0.0,10,0.113,-11.076,0,0.249,122.976,5,0.347,2017-01-01
69,0L7loeTIg6akW84aEQZpCT,0.0375,0.746,166138,0.877,0.000833,9,0.233,-3.782,0,0.0666,107.985,4,0.751,2017-01-01
70,5J1c3M4EldCfNxXwrwt8mT,0.142,0.776,228467,0.669,0.0,11,0.219,-4.933,1,0.0638,91.012,4,0.661,2017-01-01
71,6fwdbPMwP1zVStm8FybmkO,0.373,0.835,258880,0.413,0.00133,1,0.101,-9.81,1,0.396,149.004,4,0.111,2017-01-01
72,4BHzQ9C00ceJxfG16AlNWb,0.0415,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562,2017-01-01
73,1lItf5ZXJc1by9SbPeljFd,0.00381,0.807,144244,0.887,0.0,1,0.391,-3.892,1,0.275,160.517,4,0.78,2017-01-01
74,6YZdkObH88npeKrrkb8Ggf,0.0786,0.724,200813,0.904,0.0,8,0.226,-3.354,0,0.0966,90.999,4,0.846,2017-01-01
75,1OAiWI2oPmglaOiv9fdioU,0.00868,0.565,212647,0.849,4.68e-06,0,0.12,-3.516,0,0.0517,102.034,4,0.427,2017-01-01
76,7vRriwrloYVaoAe3a9wJHe,0.687,0.492,251034,0.275,0.0,6,0.101,-13.4,0,0.3,92.6,4,0.18,2017-01-01
77,4dASQiO1Eoo3RJvt74FtXB,0.255,0.502,243491,0.786,0.0,9,0.65,-4.378,0,0.317,169.021,4,0.739,2017-01-01
78,6HUnnBwYZqcED1eQztxMBN,0.0435,0.744,174933,0.836,0.0,6,0.194,-2.396,0,0.0507,114.965,4,0.36,2017-01-01
79,5uDASfU19gDxSjW8cnCaBp,0.0312,0.886,177184,0.427,0.00099,6,0.0906,-10.028,1,0.145,108.034,4,0.23,2017-01-01
80,0EPxmvsG1BY5td4aTOkWBF,0.456,0.931,144039,0.604,0.0,0,0.0488,-1.41,0,0.0573,129.926,4,0.864,2017-01-01
81,2CPqh63wRVscbceKcPxwvv,0.0225,0.632,183414,0.575,1.81e-06,5,0.104,-6.478,1,0.029,90.037,4,0.188,2017-01-01
82,1Tt4sE4pXi57mTD1GCzsqm,0.11,0.671,191600,0.314,0.0,5,0.0825,-8.091,0,0.244,110.898,4,0.296,2017-01-01
83,58zsLZPvfflaiIbNWoA22O,0.393,0.602,200187,0.707,0.0,11,0.165,-4.097,1,0.302,75.09,4,0.554,2017-01-01
84,0B8B8cVRFIG1yznoQe7c9s,0.017,0.627,247427,0.717,0.0,8,0.261,-5.751,0,0.0376,105.05,4,0.561,2017-01-01
85,6bLopGnirdrilrpdVB6Um1,0.0174,0.639,210920,0.785,0.00107,10,0.0512,-6.167,0,0.174,191.95,4,0.686,2017-01-01
86,7129iqBafaphfc3WPCGC0L,0.29,0.742,237300,0.479,0.0,10,0.391,-5.83,1,0.0551,119.951,4,0.346,2017-01-01
87,0tICYNayWWhH9GPeFrfjfD,0.08,0.793,195547,0.729,3.1e-05,0,0.317,-4.77,0,0.0394,121.972,4,0.488,2017-01-01
88,4ckuS4Nj4FZ7i3Def3Br8W,0.00479,0.804,251333,0.56,0.0,8,0.164,-6.682,1,0.185,85.023,4,0.272,2017-01-01
89,7JYsArznYOjX2jsrT3UEnL,0.533,0.635,234650,0.847,0.0,7,0.154,-3.152,1,0.447,166.072,4,0.568,2017-01-01
90,2wDjpPW3HZdA9quPPmZAMu,0.494,0.42,215670,0.636,0.0,10,0.122,-7.216,1,0.22,156.104,5,0.784,2017-01-01
91,2BrzlUj1u1CtvaJDGIKpsP,0.592,0.588,242081,0.471,0.00146,0,0.0733,-7.287,1,0.0577,152.881,4,0.209,2017-01-01
92,2HzfRSfCogBSsgW2CckVA2,0.0845,0.422,248387,0.852,0.0,6,0.0687,-3.546,1,0.208,82.914,4,0.666,2017-01-01
93,6OZh916QF8XNunWaP97WEZ,0.453,0.459,212424,0.587,0.0,9,0.307,-6.983,1,0.0785,113.901,4,0.581,2017-01-01
94,0v9Wz8o0BT8DU38R4ddjeH,0.156,0.652,304607,0.795,0.0,11,0.123,-5.192,0,0.174,135.018,4,0.788,2017-01-01
95,4vb4mFvYsr2h6enhjJsq9Y,0.0189,0.596,240427,0.838,1.54e-05,5,0.108,-6.52,0,0.0704,94.982,4,0.472,2017-01-01
96,0YHUITU3w6ws1v8ehT264g,0.0316,0.774,246240,0.739,5.95e-06,0,0.119,-4.022,1,0.0952,126.002,4,0.823,2017-01-01
97,4gmmRb6bZJffOOiww1JGTO,0.136,0.906,235040,0.444,6.44e-05,4,0.173,-8.692,0,0.384,140.063,4,0.678,2017-01-01
98,4OZEu0Vwq0RB2LAq14v99n,0.0199,0.611,220573,0.7,0.0,9,0.0549,-5.331,1,0.0436,104.981,4,0.213,2017-01-01
99,20ZAJdsKB5IGbGj4ilRt2o,0.0998,0.721,226400,0.687,0.0,1,0.0679,-6.682,1,0.0782,175.914,4,0.825,2017-01-01
100,40YcuQysJ0KlGQTeGUosTC,0.0186,0.757,251467,0.672,0.0,0,0.158,-6.524,0,0.0955,111.996,4,0.382,2017-01-01
