,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,date
0,4Km5HrUvYTaSUfiSGPJeQR,0.061,0.927,343150,0.665,0.0,11,0.123,-5.313,1,0.244,127.076,4,0.175,2017-01-01
1,343YBumqHu19cGoGARUTsd,0.108,0.927,210937,0.488,0.0,9,0.196,-9.433,0,0.42,133.987,4,0.605,2017-01-01
2,5aAx2yezTd8zXrkmtKl66Z,0.165,0.681,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535,2017-01-01
3,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661,2017-01-01
4,6fujklziTHa8uoM5OQSfIo,0.142,0.794,291893,0.632,0.0,0,0.128,-6.163,1,0.0649,145.926,4,0.355,2017-01-01
5,7yyRTcZmCiyzzJlNzGC9Ol,0.236,0.886,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708,2017-01-01
6,1xznGGDReH1oQq0xzbwXa3,0.00784,0.791,173987,0.619,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,0.371,2017-01-01
7,7FB8l7UA1HKqnuSLjP9qDc,0.174,0.952,209640,0.318,0.0,10,0.205,-10.357,1,0.467,120.077,4,0.665,2017-01-01
8,4pdPtRcBmOSQDlJ3Fk945m,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142,2017-01-01
9,0SGkqnVQo9KPytSri1H6cF,0.105,0.77,222360,0.567,0.0,2,0.125,-5.698,1,0.175,81.477,4,0.26,2017-01-01
10,5GXAXm5YOmYT0kL5jHvYBt,0.426,0.773,269187,0.819,0.0,0,0.0679,-5.946,0,0.118,92.99,4,0.585,2017-01-01
11,6b8Be6ljOzmkOmFslEb23P,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632,2017-01-01
12,1PSBzsahR2AKwLJgx8ehBj,0.214,0.697,239293,0.691,0.0,2,0.185,-4.757,1,0.146,137.853,4,0.305,2017-01-01
13,6fwdbPMwP1zVStm8FybmkO,0.373,0.835,258880,0.413,0.00133,1,0.101,-9.81,1,0.396,149.004,4,0.111,2017-01-01
14,3NdDpSvN911VPGivFlV5d0,0.0631,0.735,245200,0.451,1.3e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862,2017-01-01
15,5MFzQMkrl1FOOng9tq6R9r,0.338,0.783,214480,0.623,0.0,7,0.0975,-6.126,1,0.08,100.048,4,0.447,2017-01-01
16,5uDASfU19gDxSjW8cnCaBp,0.0312,0.886,177184,0.427,0.00099,6,0.0906,-10.028,1,0.145,108.034,4,0.23,2017-01-01
17,6I6NX6tjGsxFAsIfGzY9lJ,0.361,0.653,264747,0.409,0.00012,9,0.189,-11.446,1,0.421,174.324,4,0.187,2017-01-01
18,7JYsArznYOjX2jsrT3UEnL,0.533,0.635,234650,0.847,0.0,7,0.154,-3.152,1,0.447,166.072,4,0.568,2017-01-01
19,4F7A0DXBrmUAkp32uenhZt,0.188,0.572,249213,0.631,2.31e-05,1,0.259,-8.389,1,0.104,77.519,4,0.219,2017-01-01
20,0v9Wz8o0BT8DU38R4ddjeH,0.156,0.652,304607,0.795,0.0,11,0.123,-5.192,0,0.174,135.018,4,0.788,2017-01-01
21,4gmmRb6bZJffOOiww1JGTO,0.136,0.906,235040,0.444,6.44e-05,4,0.173,-8.692,0,0.384,140.063,4,0.678,2017-01-01
22,1qOLh0tI7trd1zdDKxYZTe,0.371,0.636,181880,0.633,0.0,4,0.102,-4.23,1,0.126,99.721,4,0.512,2017-01-01
23,0QsvXIfqM0zZoerQfsI9lm,0.16,0.542,208053,0.859,0.00466,11,0.137,-5.651,1,0.197,159.797,4,0.403,2017-01-01
24,4pLwZjInHj3SimIyN9SnOz,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.883,0,0.247,159.145,4,0.603,2017-01-01
25,4Hf7WnR761jpxPr5D46Bcd,0.123,0.624,187973,0.803,0.0,10,0.114,-4.105,0,0.246,166.018,4,0.821,2017-01-01
26,04DwTuZ2VBdJCCC5TROn7L,0.0592,0.49,195840,0.485,0.0,4,0.337,-6.237,0,0.0406,133.889,4,0.196,2017-01-01
27,4ckuS4Nj4FZ7i3Def3Br8W,0.00479,0.804,251333,0.56,0.0,8,0.164,-6.682,1,0.185,85.023,4,0.272,2017-01-01
28,6JV2JOEocMgcZxYSZelKcc,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701,2017-01-01
29,4tCtwWceOPWzenK2HAIJSb,0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593,2017-01-01
30,6i0V12jOa3mr6uu4WYhUBr,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548,2017-01-01
31,2ANLarE8yHVsLWW21nj79M,0.069,0.843,163944,0.359,0.0,0,0.12,-7.417,1,0.461,81.987,4,0.156,2017-01-01
32,7yHEDfrJNd0zWOfXwydNH0,0.0161,0.636,244453,0.727,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358,2017-01-01
33,11KJSRSgaDxqydKYiD2Jew,0.0573,0.804,263373,0.648,3.49e-05,7,0.102,-7.805,1,0.117,117.983,4,0.392,2017-01-01
34,6F609ICg9Spjrw1epsAnpa,0.0773,0.607,245227,0.476,0.0,10,0.113,-11.076,0,0.249,122.976,5,0.347,2017-01-01
35,0azC730Exh71aQlOt9Zj3y,0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.465,2017-01-01
36,5uCax9HTNlzGybIStD3vDh,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494,2017-01-01
37,2rizacJSyD9S1IQUxUxnsK,0.097,0.662,194080,0.586,0.00272,0,0.115,-8.821,1,0.0307,90.0,4,0.296,2017-01-01
38,20dP2DaMHIAmwWAbp7peSr,0.114,0.711,252256,0.739,0.0,7,0.226,-3.804,0,0.129,136.919,4,0.43,2017-01-01
39,2EEeOnHehOozLq4aS0n6SL,0.378,0.746,253107,0.653,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672,2017-01-01
40,27SdWb2rFzO6GWiYDBTD9j,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732,2017-01-01
41,1Tt4sE4pXi57mTD1GCzsqm,0.11,0.671,191600,0.314,0.0,5,0.0825,-8.091,0,0.244,110.898,4,0.296,2017-01-01
42,6DNtNfH8hXkqOX1sjqmI7p,0.0736,0.608,185352,0.798,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501,2017-01-01
