,id,Track Name,date
0,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),2017-01-01
1,343YBumqHu19cGoGARUTsd,Fake Love,2017-01-01
2,5aAx2yezTd8zXrkmtKl66Z,Starboy,2017-01-01
3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,2017-01-01
4,6fujklziTHa8uoM5OQSfIo,Black Beatles,2017-01-01
5,7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),2017-01-01
6,1xznGGDReH1oQq0xzbwXa3,One Dance,2017-01-01
7,7FB8l7UA1HKqnuSLjP9qDc,Caroline,2017-01-01
8,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,2017-01-01
9,0SGkqnVQo9KPytSri1H6cF,Bounce Back,2017-01-01
10,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,2017-01-01
11,6b8Be6ljOzmkOmFslEb23P,24K Magic,2017-01-01
12,1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),2017-01-01
13,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),2017-01-01
14,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2017-01-01
15,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,2017-01-01
16,5uDASfU19gDxSjW8cnCaBp,Chill Bill,2017-01-01
17,6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,2017-01-01
18,7JYsArznYOjX2jsrT3UEnL,OOOUUU,2017-01-01
19,4F7A0DXBrmUAkp32uenhZt,Party Monster,2017-01-01
20,0v9Wz8o0BT8DU38R4ddjeH,No Problem (feat. Lil Wayne & 2 Chainz),2017-01-01
21,4gmmRb6bZJffOOiww1JGTO,No Heart,2017-01-01
22,1qOLh0tI7trd1zdDKxYZTe,Starving,2017-01-01
23,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down,2017-01-01
24,4pLwZjInHj3SimIyN9SnOz,Side To Side,2017-01-01
25,4Hf7WnR761jpxPr5D46Bcd,Treat You Better,2017-01-01
26,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,2017-01-01
27,4ckuS4Nj4FZ7i3Def3Br8W,Sneakin’,2017-01-01
28,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2017-01-01
29,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),2017-01-01
